"","country","public_debt_bip","trend_pdb","public_debt_state_rev","trend_pdsr","foreign_debt_bip","trend_fdp","foreign_debt_exp","trend_fde","external_debt_service_exp","trend_edse","risk_excessive_debt","exceedance","debt_situation","tendency","income","trend","region","region_large","public_debt_bip2","public_debt_state_rev2","foreign_debt_bip2","foreign_debt_exp2","external_debt_service_exp2"
"17","PNG",36.9,1,204.1,1,85.6,-1,169,-1,27.1,1,1,7,2,1,"LM",1,"Melanesia","Oceania",0,1,3,1,2
"18","PHL",39.9,-1,204.2,-1,19.4,0,74.4,-1,11.3,1,0,1,1,-2,"LM",-1,"South-Eastern Asia","Asia",0,1,0,0,0
"19","SLB",9.4,-1,22,-1,28.6,1,53.6,1,3.9,-1,1,0,1,-1,"LM",-1,"Melanesia","Oceania",0,0,0,0,0
"20","WSM",49.1,0,143.2,0,53.5,0,154.5,-1,8.9,1,2,2,1,0,"UM",0,"Polynesia","Oceania",0,0,1,1,0
"21","LKA",79.1,1,572.6,0,59.1,0,260.1,0,21.2,1,0,9,2,2,"LM",1,"Southern Asia","Asia",2,3,1,2,1
"22","TON",NA,0,NA,0,39.1,0,121.3,-1,9.9,1,2,0,1,0,"UM",0,"Polynesia","Oceania",NA,NA,0,0,0
"23","TUV",37,1,29.7,1,NA,0,NA,0,NA,0,2,0,1,2,"UM",1,"Polynesia","Oceania",0,0,NA,NA,NA
"24","VUT",48.4,1,153.8,1,46,1,NA,0,NA,0,1,1,1,3,"LM",1,"Melanesia","Oceania",0,0,1,NA,NA
"25","VNM",58.5,1,248.2,1,48.8,1,45.7,0,5.9,1,0,3,1,4,"LM",1,"South-Eastern Asia","Asia",1,1,1,0,0
"26","AGO",65,1,385,1,31.6,1,103.8,1,13.4,1,0,3,1,5,"LM",1,"Middle Africa","Sub-Saharan Africa",1,2,0,0,0
"27","GNQ",37.4,1,219.6,1,9.6,0,19.7,0,NA,0,0,1,1,2,"UM",1,"Middle Africa","Sub-Saharan Africa",0,1,0,0,NA
"28","ETH",54.2,1,363.8,1,33.2,1,397.6,1,20.8,1,2,7,2,5,"L",1,"Eastern Africa","Sub-Saharan Africa",1,2,0,3,1
"29","BEN",54.6,1,292.5,1,31.3,1,114.4,1,4.2,1,1,2,1,5,"L",1,"Western Africa","Sub-Saharan Africa",1,1,0,0,0
"30","BFA",38.1,1,175.7,1,25,1,86,1,3.7,1,1,0,1,5,"L",1,"Western Africa","Sub-Saharan Africa",0,0,0,0,0
"31","BDI",48.4,1,368.7,1,17.7,-1,245.5,-1,14.4,0,2,4,1,0,"L",0,"Eastern Africa","Sub-Saharan Africa",0,2,0,2,0
"32","CIV",47,0,244.7,1,34.4,0,105.6,1,17.6,1,1,2,1,3,"LM",1,"Western Africa","Sub-Saharan Africa",0,1,0,0,1
"33","DJI",31.8,-1,98.8,-1,112.5,1,338.5,1,11.1,1,2,6,2,1,"LM",1,"Eastern Africa","Sub-Saharan Africa",0,0,3,3,0
"34","ERI",131.2,0,890.5,0,NA,0,NA,0,NA,0,0,6,2,0,"L",0,"Eastern Africa","Sub-Saharan Africa",3,3,NA,NA,NA
"35","GAB",62.7,1,382.1,1,45.1,1,116.6,0,NA,0,0,4,1,3,"UM",1,"Middle Africa","Sub-Saharan Africa",1,2,1,0,NA
"36","GMB",88,1,459.5,0,65.9,1,247.5,1,16.9,1,3,10,3,4,"L",1,"Western Africa","Sub-Saharan Africa",2,3,2,2,1
"37","GHA",71.8,1,410.8,1,48.1,1,106.2,0,10.4,1,2,5,2,4,"LM",1,"Western Africa","Sub-Saharan Africa",1,3,1,0,0
"38","GIN",37.9,1,246.5,0,14.3,-1,31.7,-1,1.4,-1,1,1,1,-2,"L",-1,"Western Africa","Sub-Saharan Africa",0,1,0,0,0
"39","GNB",53.9,1,294.8,-1,24.3,-1,87.8,-1,2.4,-1,1,2,1,-3,"L",-1,"Western Africa","Sub-Saharan Africa",1,1,0,0,0
"40","CMR",36.9,1,247,1,30.3,1,154.3,1,10.7,1,2,2,1,5,"LM",1,"Middle Africa","Sub-Saharan Africa",0,1,0,1,0
"41","CPV",125.8,1,441.8,0,104.4,1,204.5,1,5.9,0,2,10,3,3,"LM",1,"Western Africa","Sub-Saharan Africa",3,3,3,1,0
"42","KEN",54.2,1,296.8,1,35.7,1,243.8,1,14.8,1,1,4,1,5,"LM",1,"Eastern Africa","Sub-Saharan Africa",1,1,0,2,0
"43","COM",32.4,1,113.6,1,25.3,0,124.6,0,1.9,1,1,0,1,3,"L",1,"Eastern Africa","Sub-Saharan Africa",0,0,0,0,0
"44","COD",18.1,0,174.1,1,14,-1,38.3,-1,3,-1,1,0,1,-2,"L",-1,"Middle Africa","Sub-Saharan Africa",0,0,0,0,0
"45","COG",130.8,1,458.4,1,56.1,1,109.8,1,NA,0,1,7,2,4,"LM",1,"Middle Africa","Sub-Saharan Africa",3,3,1,0,NA
"46","LBR",34.4,1,116.7,1,61.3,1,252.9,1,3.5,1,1,4,1,5,"L",1,"Western Africa","Sub-Saharan Africa",0,0,2,2,0
"47","MDG",36,0,244.1,-1,30.3,0,82.2,1,3.2,-1,1,1,1,-1,"L",-1,"Eastern Africa","Sub-Saharan Africa",0,1,0,0,0
"48","MWI",59.2,0,233.4,1,35.1,1,172.9,1,5.7,1,1,3,1,4,"L",1,"Eastern Africa","Sub-Saharan Africa",1,1,0,1,0
"49","MLI",35.4,1,176.8,1,29.3,0,127.6,1,4.5,1,1,0,1,4,"L",1,"Western Africa","Sub-Saharan Africa",0,0,0,0,0
"50","MRT",56.6,1,344.5,1,85.2,1,207.3,1,13.2,1,2,7,2,5,"LM",1,"Western Africa","Sub-Saharan Africa",1,2,3,1,0
"51","MUS",64,0,281.1,0,155.9,1,141.9,1,21,-1,0,6,2,1,"UM",1,"Eastern Africa","Sub-Saharan Africa",1,1,3,0,1
"52","MOZ",102.1,1,357.8,1,100.8,1,216.5,1,5,1,3,9,2,5,"L",1,"Eastern Africa","Sub-Saharan Africa",3,2,3,1,0
"53","NAM",41.3,1,132,1,60.2,0,172.5,0,NA,0,0,3,1,2,"UM",1,"Southern Africa","Sub-Saharan Africa",0,0,2,1,NA
"54","NER",45.3,1,211.4,1,47.2,1,288.5,1,9.9,1,1,4,1,5,"L",1,"Western Africa","Sub-Saharan Africa",0,1,1,2,0
"55","NGA",21.8,1,351.4,1,11,1,76.9,1,6.8,1,0,2,1,5,"LM",1,"Western Africa","Sub-Saharan Africa",0,2,0,0,0
"56","RWA",40.5,1,176.9,1,37.4,1,161.4,1,3.9,1,0,1,1,5,"L",1,"Eastern Africa","Sub-Saharan Africa",0,0,0,1,0
"57","ZMB",63.1,1,358.8,1,65.2,1,179.4,1,18.1,1,1,7,2,5,"LM",1,"Eastern Africa","Sub-Saharan Africa",1,2,2,1,1
"58","STP",88.4,1,370.8,1,66.6,0,276.3,-1,3.4,-1,3,8,2,0,"LM",0,"Middle Africa","Sub-Saharan Africa",2,2,2,2,0
"59","SEN",48.3,1,249.4,1,56.2,1,212.6,1,14.2,1,0,3,1,5,"L",1,"Western Africa","Sub-Saharan Africa",0,1,1,1,0
"60","SYC",63.6,0,174.7,0,NA,0,NA,0,NA,0,0,1,1,0,"H",0,"Eastern Africa","Sub-Saharan Africa",1,0,NA,NA,NA
"61","SLE",63.9,1,424.3,1,47.3,1,NA,0,NA,0,2,5,2,3,"L",1,"Western Africa","Sub-Saharan Africa",1,3,1,NA,NA
"62","ZWE",82.3,1,374.8,1,59.1,0,188.6,0,8.4,-1,3,6,2,1,"L",1,"Eastern Africa","Sub-Saharan Africa",2,2,1,1,0
"63","ZAF",53,1,187.5,1,52,1,160.4,1,12.2,1,0,3,1,5,"UM",1,"Southern Africa","Sub-Saharan Africa",1,0,1,1,0
"64","SDN",121.6,1,1689.5,1,20.3,-1,387.3,0,4.2,-1,3,9,2,0,"LM",0,"Northern Africa","Middle East",3,3,0,3,0
"65","SSD",62.7,1,150.6,1,NA,0,NA,0,NA,0,3,1,1,2,"L",1,"Northern Africa","Middle East",1,0,NA,NA,NA
"66","TZA",37,1,232.1,1,35.4,1,205.6,1,8.4,1,0,2,1,5,"L",1,"Eastern Africa","Sub-Saharan Africa",0,1,0,1,0
"67","TGO",75.7,1,352,1,32.8,1,105.9,1,5.8,1,1,4,1,5,"L",1,"Western Africa","Sub-Saharan Africa",2,2,0,0,0
